birdId,group,family,alphabeticalName,order,birdName,rarityType,habitat,SABAP2Ref,illustrationFile,mapFile,thumbnailFile,photosLocation,sonogramFile,sonogramName,soundName,resourceName,plateName,thumbnailName,mapNameBasic,mapNameZoomed,mapBarName,photoName,afrikaansName
618,Runners,Chats & Wheatears,"Wheatear, Mountain",09_12_08,Mountain Wheatear,uncommon,TBC,564,Birds/Runners/Chats & Wheatears/Mountain Wheatear/birdviewillustration,Birds/Runners/Chats & Wheatears/Mountain Wheatear/map,Birds/Runners/Chats & Wheatears/Mountain Wheatear/thumbnail,Birds/Runners/Chats & Wheatears/Mountain Wheatear/Photos/,Birds/Runners/Chats & Wheatears/Mountain Wheatear/sonogram,wheatear_mountain_sonogram,wheatear_mountain_sound,wheatear_mountain,wheatear_mountain_plate,wheatear_mountain_thumbnail,map_wheatear_mountain_b,map_wheatear_mountain_z,bar_wheatear_mountain,wheatear_mountain,Bergwagter
619,Runners,Chats & Wheatears,"Chat, Arnot's",09_12_09,Arnot's Chat,rare,TBC,574,Birds/Runners/Chats & Wheatears/Arnot's Chat/birdviewillustration,Birds/Runners/Chats & Wheatears/Arnot's Chat/map,Birds/Runners/Chats & Wheatears/Arnot's Chat/thumbnail,Birds/Runners/Chats & Wheatears/Arnot's Chat/Photos/,Birds/Runners/Chats & Wheatears/Arnot's Chat/sonogram,chat_arnots_sonogram,chat_arnots_sound,chat_arnots,chat_arnots_plate,chat_arnots_thumbnail,map_chat_arnots_b,map_chat_arnots_z,bar_chat_arnots,chat_arnots,Bontpiek
620,Runners,Chats & Wheatears,"Chat, Ant-eating",09_12_10,Ant-eating Chat,common,TBC,575,Birds/Runners/Chats & Wheatears/Ant-eating Chat/birdviewillustration,Birds/Runners/Chats & Wheatears/Ant-eating Chat/map,Birds/Runners/Chats & Wheatears/Ant-eating Chat/thumbnail,Birds/Runners/Chats & Wheatears/Ant-eating Chat/Photos/,Birds/Runners/Chats & Wheatears/Ant-eating Chat/sonogram,chat_ant_eating_sonogram,chat_ant_eating_sound,chat_ant_eating,chat_ant_eating_plate,chat_ant_eating_thumbnail,map_chat_ant_eating_b,map_chat_ant_eating_z,bar_chat_ant_eating,chat_anteating,Swartpiek
621,Runners,Chats & Wheatears,"Chat, Mocking Cliff",09_12_11,Mocking Cliff Chat,uncommon,TBC,573,Birds/Runners/Chats & Wheatears/Mocking Cliff Chat/birdviewillustration,Birds/Runners/Chats & Wheatears/Mocking Cliff Chat/map,Birds/Runners/Chats & Wheatears/Mocking Cliff Chat/thumbnail,Birds/Runners/Chats & Wheatears/Mocking Cliff Chat/Photos/,Birds/Runners/Chats & Wheatears/Mocking Cliff Chat/sonogram,chat_mocking_cliff_sonogram,chat_mocking_cliff_sound,chat_mocking_cliff,chat_mocking_cliff_plate,chat_mocking_cliff_thumbnail,map_chat_mocking_cliff_b,map_chat_mocking_cliff_z,bar_chat_mocking_cliff,chat_mocking_cliff,Dassievoël
622,Runners,Chats & Wheatears,"Chat, Boulder",09_12_12,Boulder Chat,rare,TBC,538,Birds/Runners/Chats & Wheatears/Boulder Chat/birdviewillustration,Birds/Runners/Chats & Wheatears/Boulder Chat/map,Birds/Runners/Chats & Wheatears/Boulder Chat/thumbnail,Birds/Runners/Chats & Wheatears/Boulder Chat/Photos/,Birds/Runners/Chats & Wheatears/Boulder Chat/sonogram,chat_boulder_sonogram,chat_boulder_sound,chat_boulder,chat_boulder_plate,chat_boulder_thumbnail,map_chat_boulder_b,map_chat_boulder_z,bar_chat_boulder,chat_boulder,Swartberglyster
623,Runners,Chats & Wheatears,"Chat, Herero",09_12_13,Herero Chat,rare,TBC,660,Birds/Runners/Chats & Wheatears/Herero Chat/birdviewillustration,Birds/Runners/Chats & Wheatears/Herero Chat/map,Birds/Runners/Chats & Wheatears/Herero Chat/thumbnail,Birds/Runners/Chats & Wheatears/Herero Chat/Photos/,Birds/Runners/Chats & Wheatears/Herero Chat/sonogram,chat_herero_sonogram,chat_herero_sound,chat_herero,chat_herero_plate,chat_herero_thumbnail,map_chat_herero_b,map_chat_herero_z,bar_chat_herero,chat_herero,Hererospekvreter
624,Runners,Chats & Wheatears,"Redstart, Common",09_12_14,Common Redstart,top,TBC,1004,Birds/Runners/Chats & Wheatears/Common Redstart/birdviewillustration,Birds/Runners/Chats & Wheatears/Common Redstart/map,Birds/Runners/Chats & Wheatears/Common Redstart/thumbnail,Birds/Runners/Chats & Wheatears/Common Redstart/Photos/,Birds/Runners/Chats & Wheatears/Common Redstart/sonogram,redstart_common_sonogram,redstart_common_sound,redstart_common,redstart_common_plate,redstart_common_thumbnail,map_redstart_common_b,map_redstart_common_z,bar_redstart_common,redstart_common,Europese Rooistert
625,Runners,Chats & Wheatears,"Chat, Familiar",09_12_15,Familiar Chat,common,TBC,570,Birds/Runners/Chats & Wheatears/Familiar Chat/birdviewillustration,Birds/Runners/Chats & Wheatears/Familiar Chat/map,Birds/Runners/Chats & Wheatears/Familiar Chat/thumbnail,Birds/Runners/Chats & Wheatears/Familiar Chat/Photos/,Birds/Runners/Chats & Wheatears/Familiar Chat/sonogram,chat_familiar_sonogram,chat_familiar_sound,chat_familiar,chat_familiar_plate,chat_familiar_thumbnail,map_chat_familiar_b,map_chat_familiar_z,bar_chat_familiar,chat_familiar,Gewone Spekvreter
626,Runners,Chats & Wheatears,"Chat, Sickle-winged",09_12_16,Sickle-winged Chat,uncommon,TBC,572,Birds/Runners/Chats & Wheatears/Sickle-winged Chat/birdviewillustration,Birds/Runners/Chats & Wheatears/Sickle-winged Chat/map,Birds/Runners/Chats & Wheatears/Sickle-winged Chat/thumbnail,Birds/Runners/Chats & Wheatears/Sickle-winged Chat/Photos/,Birds/Runners/Chats & Wheatears/Sickle-winged Chat/sonogram,chat_sickle_winged_sonogram,chat_sickle_winged_sound,chat_sickle_winged,chat_sickle_winged_plate,chat_sickle_winged_thumbnail,map_chat_sickle_winged_b,map_chat_sickle_winged_z,bar_chat_sickle_winged,chat_sicklewinged,Vlaktespekvreter
627,Runners,Chats & Wheatears,"Chat, Tractrac",09_12_17,Tractrac Chat,uncommon,TBC,571,Birds/Runners/Chats & Wheatears/Tractrac Chat/birdviewillustration,Birds/Runners/Chats & Wheatears/Tractrac Chat/map,Birds/Runners/Chats & Wheatears/Tractrac Chat/thumbnail,Birds/Runners/Chats & Wheatears/Tractrac Chat/Photos/,Birds/Runners/Chats & Wheatears/Tractrac Chat/sonogram,chat_tractrac_sonogram,chat_tractrac_sound,chat_tractrac,chat_tractrac_plate,chat_tractrac_thumbnail,map_chat_tractrac_b,map_chat_tractrac_z,bar_chat_tractrac,chat_tractrac,Woestynspekvreter
